Gene_ID,Corrected p-value,p-value,FCAbsolute,regulation,Symbol,Definition
4880035|78600,0.012792393,0.003136758,120.53893,down,Pde6h,"Mus musculus phosphodiesterase 6H, cGMP-specific, cone, gamma (Pde6h), mRNA."
150196,0.002002198,1.74E-04,5.7562666,down,2010305C02Rik,
1690563|72572,0.005626552,0.00122942,15.588634,up,Spats2,"Mus musculus spermatogenesis associated, serine-rich 2 (Spats2), mRNA."
"770022,510554|268782",0.011996621,0.002917337,10.896659,down,Agxt2,"Mus musculus alanine-glyoxylate aminotransferase 2 (Agxt2), nuclear gene encoding mitochondrial protein, mRNA."
2810424|71607,0.001406673,2.20E-05,153.10384,up,Snx20,"Mus musculus sorting nexin 20 (Snx20), mRNA."
4250543,0.015975947,0.004060193,2.4459698,up,Ttll4,
1500017,0.030284273,0.008551647,2.403921,down,Cpt2,
3370609,0.016000602,0.004067613,2.5525303,down,Cpt2,
"4120068,360603|66496",0.01903728,0.004982506,2.1604543,down,2700038C09Rik,"Mus musculus RIKEN cDNA 2700038C09 gene (2700038C09Rik), mRNA."
60347|22065,0.036523223,0.010667355,9.682615,down,Trpc3,"Mus musculus transient receptor potential cation channel, subfamily C, member 3 (Trpc3), mRNA."
"4890735,4570736,4290100|53602",0.002002198,1.85E-04,6.1540647,up,Hpcal1,"Mus musculus hippocalcin-like 1 (Hpcal1), mRNA."
"3710040,5720273|72094",0.001980551,3.80E-05,1413.7002,down,Ugt2a3,"Mus musculus UDP glucuronosyltransferase 2 family, polypeptide A3 (Ugt2a3), mRNA."
630653|56541,0.03227747,0.009208795,3.487073,down,Habp4,"Mus musculus hyaluronic acid binding protein 4 (Habp4), mRNA."
5550092|226169,0.002870466,5.74E-04,4.4919696,up,Pprc1,"Mus musculus peroxisome proliferative activated receptor, gamma, coactivator-related 1 (Pprc1), mRNA."
"5870672,1170601,1110138|245886",0.04567459,0.013838342,2.1818702,up,Ankrd27,"Mus musculus ankyrin repeat domain 27 (VPS9 domain) (Ankrd27), transcript variant 2, mRNA.///Mus musculus ankyrin repeat domain 27 (VPS9 domain) (Ankrd27), transcript variant 1, mRNA."
7000431|50500,0.011264145,0.002718359,6.922063,down,Ttpa,"Mus musculus tocopherol (alpha) transfer protein (Ttpa), mRNA."
5720689,3.63E-04,2.55E-06,6.7085123,up,Pla2g12a,
6450719|433745,8.25E-04,9.52E-06,2.9581366,up,LOC433745,"PREDICTED: Mus musculus similar to ribosomal protein L3 (LOC433745), mRNA."
6520739|23999,0.01929805,0.005060805,2.8808613,up,Twf2,"Mus musculus twinfilin, actin-binding protein, homolog 2 (Drosophila) (Twf2), mRNA."
"5550360,6520220,2650435,2490040,2710376|104318",0.029792948,0.00839136,2.5642292,up,Csnk1d,"Mus musculus casein kinase 1, delta (Csnk1d), transcript variant 2, mRNA."
2970129,0.00424545,8.93E-04,17.029434,up,Lig3,
2750255,0.002661715,5.29E-04,6.5908866,down,1110027O12Rik,
"3400451,2490653|240327",0.004169935,8.74E-04,23.758057,down,EG240327,"Mus musculus predicted gene, EG240327 (EG240327), mRNA."
870373|56690,0.002002198,1.86E-04,3.7150798,down,Mlycd,"Mus musculus malonyl-CoA decarboxylase (Mlycd), nuclear gene encoding mitochondrial protein, mRNA."
6520598,0.00300295,6.05E-04,2.7454584,down,Sas,
6270220,0.021032866,0.0055912,2.0538027,down,Sfxn5,
"5490133,6040746|232371",0.002002198,2.61E-04,6.121877,down,C1rl,"Mus musculus complement component 1, r subcomponent-like (C1rl), mRNA."
3170370|67057,0.03424426,0.009871961,3.1764677,down,Yaf2,"Mus musculus YY1 associated factor 2 (Yaf2), mRNA."
6400400,0.042211857,0.012617031,3.0467176,down,G630007B09Rik,
"510402,1780338|272551",0.003295558,6.71E-04,131.08328,up,Gins2,"Mus musculus GINS complex subunit 2 (Psf2 homolog) (Gins2), mRNA."
"1050348,1070243|97998",5.79E-04,5.20E-06,3.7657764,down,Depdc6,"Mus musculus DEP domain containing 6 (Depdc6), transcript variant 2, mRNA.///Mus musculus DEP domain containing 6 (Depdc6), transcript variant 1, mRNA."
3710403|233571,0.005076644,0.00109443,4.232921,up,P2ry6,"Mus musculus pyrimidinergic receptor P2Y, G-protein coupled, 6 (P2ry6), mRNA."
60497|665032,0.001978529,3.78E-05,3.2365637,up,LOC665032,"PREDICTED: Mus musculus similar to ribosomal protein (LOC665032), mRNA."
5340392|236831,0.002002198,2.91E-04,2.0656135,up,LOC236831,"PREDICTED: Mus musculus similar to 60S ribosomal protein L7a (LOC236831), mRNA."
"6330136,4120689,2570767|192193",0.003394777,6.94E-04,4.29328,down,Edem1,"Mus musculus ER degradation enhancer, mannosidase alpha-like 1 (Edem1), mRNA."
840554,0.002002198,2.70E-04,6.136817,down,A030012M09Rik,
"2630209,4850039,650458|52118",0.03743989,0.010988159,3.8470433,up,Pvr,"Mus musculus poliovirus receptor (Pvr), mRNA."
"6860671,6590201,6220243|72357",0.004687768,9.98E-04,5.60442,up,2210016L21Rik,"Mus musculus RIKEN cDNA 2210016L21 gene (2210016L21Rik), mRNA."
7320053|14778,0.03990106,0.011824759,17.625982,up,Gpx3,"Mus musculus glutathione peroxidase 3 (Gpx3), transcript variant 2, mRNA."
4220132|71519,1.97E-11,1.71E-15,346.57944,down,Cyp2u1,"Mus musculus cytochrome P450, family 2, subfamily u, polypeptide 1 (Cyp2u1), mRNA."
"2350475,7560221,360343,6250192|72947",0.009222926,0.002161719,2.3792412,up,Agxt2l2,"Mus musculus alanine-glyoxylate aminotransferase 2-like 2 (Agxt2l2), mRNA."
3370195|23790,0.002002198,6.09E-05,5.0475707,up,Coro1c,"Mus musculus coronin, actin binding protein 1C (Coro1c), mRNA."
3890373|27967,0.014981346,0.003758447,2.588491,up,Cherp,"Mus musculus calcium homeostasis endoplasmic reticulum protein (Cherp), mRNA."
6180093,0.002002198,2.74E-04,2.742655,down,Ipo8,
4120706,0.03936442,0.011638394,3.414559,down,4933421H10Rik,
130519|100047261,0.023021163,0.006207662,2.498881,up,LOC100047261,"PREDICTED: Mus musculus similar to spermidine/spermine N1-acetyltransferase (LOC100047261), misc RNA."
6840475,0.004760574,0.001015549,19.907839,down,A430085C19,
10092,0.00809494,0.001864082,4.1220574,down,Stau2,
"4390543,5690452,4070044|242700",0.005219392,0.001129884,40.612545,up,Il28ra,"Mus musculus interleukin 28 receptor alpha (Il28ra), mRNA."
4730187|404236,0.014062591,0.003495002,12.978607,up,Mrgpra7,"Mus musculus MAS-related GPR, member A7 (Mrgpra7), mRNA."
7160086|434402,0.024107093,0.006552788,3.1240869,down,EG434402,"PREDICTED: Mus musculus predicted gene, EG434402 (EG434402), mRNA."
2600438,0.047529172,0.014536361,14.558834,down,6030495B01Rik,
3190646|71724,0.002002198,4.08E-05,307.71957,down,Aox3,"Mus musculus aldehyde oxidase 3 (Aox3), mRNA."
2750338|330723,2.40E-04,1.21E-06,152.72775,down,Htra4,"Mus musculus HtrA serine peptidase 4 (Htra4), mRNA."
870082|71753,0.03480806,0.010057652,20.970741,down,Tmprss6,"Mus musculus transmembrane serine protease 6 (Tmprss6), mRNA."
2230653|13660,0.04590865,0.013930506,2.4372096,up,Ehd1,"Mus musculus EH-domain containing 1 (Ehd1), mRNA."
2810725|13560,0.013387057,0.003303873,4.1126456,up,E4f1,"Mus musculus E4F transcription factor 1 (E4f1), mRNA."
"6280324,380639|214791",0.004203506,8.82E-04,47.864227,up,Sertad4,"Mus musculus SERTA domain containing 4 (Sertad4), mRNA."
"2000259,610482,6020543|18631",0.002002198,4.51E-05,7.8603854,down,Pex11a,"Mus musculus peroxisomal biogenesis factor 11a (Pex11a), mRNA."
4390619|234564,0.002002198,1.21E-04,8385.416,down,AU018778,"Mus musculus expressed sequence AU018778 (AU018778), mRNA."
6350709|69716,0.018063024,0.004686238,5.2317405,up,Trip13,"Mus musculus thyroid hormone receptor interactor 13 (Trip13), mRNA."
"60041,2360114|16157",0.005047689,0.001087749,3.756847,down,Il11ra1,"Mus musculus interleukin 11 receptor, alpha chain 1 (Il11ra1), mRNA."
6370204|21346,0.002002198,9.49E-05,11.731567,up,Tagln2,"Mus musculus transgelin 2 (Tagln2), mRNA."
6370465,0.031160684,0.008843299,6.4328856,up,5730407K14Rik,
4290131,0.005531274,0.001205881,2.537716,up,LOC277707,
780475|233406,0.002002198,2.39E-04,799.6827,up,Prc1,"Mus musculus protein regulator of cytokinesis 1 (Prc1), mRNA."
6020369|100039751,0.001248072,1.81E-05,2.645227,up,LOC100039751,"PREDICTED: Mus musculus similar to 40S ribosomal protein S12 (LOC100039751), misc RNA."
2510674|12012,0.002002198,1.15E-04,89.75378,down,Baat,"Mus musculus bile acid-Coenzyme A: amino acid N-acyltransferase (Baat), mRNA."
6040392|106648,0.00509199,0.001098475,98.627014,down,Cyp4f15,"Mus musculus cytochrome P450, family 4, subfamily f, polypeptide 15 (Cyp4f15), mRNA."
1300747|100046120,0.015370454,0.003876519,8.900781,down,LOC100046120,"PREDICTED: Mus musculus similar to clusterin (LOC100046120), mRNA."
460538|232974,0.028741527,0.008046164,2.3861754,down,LOC232974,"PREDICTED: Mus musculus similar to ETS domain-containing transcription factor ERF (Ets2 repressor factor) (LOC232974), mRNA."
"2260050,7330050|329384",0.002002198,2.29E-04,8.267725,up,Ptrh1,"Mus musculus peptidyl-tRNA hydrolase 1 homolog (S. cerevisiae) (Ptrh1), mRNA."
3990543|20276,0.039225508,0.011592785,64.83856,down,Scnn1a,"Mus musculus sodium channel, nonvoltage-gated 1 alpha (Scnn1a), mRNA."
6510148,0.004217306,8.86E-04,3.0813293,up,B130015M16Rik,
6480397|12623,0.012975002,0.003188291,190.56258,down,Ces1,"Mus musculus carboxylesterase 1 (Ces1), mRNA."
730148|69582,0.026964683,0.00746293,2.7972949,up,Plekhm2,"PREDICTED: Mus musculus pleckstrin homology domain containing, family M (with RUN domain) member 2, transcript variant 7 (Plekhm2), mRNA."
6760575|235047,0.010055524,0.002385667,6.226178,down,Zfp809,"Mus musculus zinc finger protein 809 (Zfp809), mRNA."
4590164|14705,0.011719073,0.002842046,2.1405358,down,Bscl2,"Mus musculus Bernardinelli-Seip congenital lipodystrophy 2 homolog (human) (Bscl2), transcript variant 2, mRNA."
5910162,0.013028404,0.003204962,2.8142614,down,Fgd6,
"3170280,7210041|12833",0.03260028,0.009316926,3.3939605,up,Col6a1,"Mus musculus procollagen, type VI, alpha 1 (Col6a1), mRNA."
7380554|17195,0.002002198,5.73E-05,26.467833,down,Mbl2,"Mus musculus mannose-binding lectin (protein C) 2 (Mbl2), mRNA."
"4390403,1070201|22412",0.015259862,0.003841563,14.4022045,down,Wnt9b,"Mus musculus wingless-type MMTV integration site 9B (Wnt9b), mRNA."
4730692|76459,0.00202115,3.89E-04,150.89299,up,Car12,"Mus musculus carbonic anyhydrase 12 (Car12), mRNA."
610576|64918,0.002002198,1.03E-04,3.3160782,down,Bhmt2,"Mus musculus betaine-homocysteine methyltransferase 2 (Bhmt2), mRNA."
4390022|67867,0.005636791,0.001232365,2.7069252,down,Lrrc28,"Mus musculus leucine rich repeat containing 28 (Lrrc28), mRNA."
"4880554,620360|98417",0.002002198,5.50E-05,4.722165,up,Cnih4,"Mus musculus cornichon homolog 4 (Drosophila) (Cnih4), mRNA."
2320494,0.025853503,0.00710603,2.7326849,down,A630078J04Rik,
3520711|386612,0.024083126,0.006542791,2.7388105,up,Thoc6,"Mus musculus THO complex 6 homolog (Drosophila) (Thoc6), mRNA."
6040364|15200,0.002002198,1.64E-04,17.891304,up,Hbegf,"Mus musculus heparin-binding EGF-like growth factor (Hbegf), mRNA."
"540687,5310731|78455",0.017396882,0.004486742,2.2994554,up,Helz,"Mus musculus helicase with zinc finger domain (Helz), mRNA."
6180025,0.024867862,0.00678548,6.602925,down,Klkb1,
6400681|20103,0.001124357,1.53E-05,4.437148,up,Rps5,"Mus musculus ribosomal protein S5 (Rps5), mRNA."
7570528|14645,0.033122655,0.009495921,4.4975166,down,Glul,"Mus musculus glutamate-ammonia ligase (glutamine synthetase) (Glul), mRNA."
5340133|333830,0.006428027,0.001434134,3.185267,up,EG333830,"PREDICTED: Mus musculus predicted gene, EG333830 (EG333830), mRNA."
"110474,50544,5700102,4830255|54128",0.00554846,0.001210109,2.0411675,down,Pmm2,"Mus musculus phosphomannomutase 2 (Pmm2), mRNA."
6380626|76522,0.002002198,3.68E-04,3.4568486,up,Lsm8,"Mus musculus LSM8 homolog, U6 small nuclear RNA associated (S. cerevisiae) (Lsm8), mRNA."
4880600|70425,9.79E-04,1.22E-05,2.273525,down,Csnk1g3,"Mus musculus casein kinase 1, gamma 3 (Csnk1g3), mRNA."
1780392|17842,0.011416039,0.002759308,1667.9312,down,Mup3,"Mus musculus major urinary protein 3 (Mup3), mRNA."
"5130382,3520372,1820008|68166",0.009346063,0.002193825,3.3134673,up,Spire1,"Mus musculus spire homolog 1 (Drosophila) (Spire1), transcript variant 1, mRNA.///Mus musculus spire homolog 1 (Drosophila) (Spire1), transcript variant 2, mRNA."
7330133|74455,0.002925302,5.87E-04,7.467734,down,Nsun6,"Mus musculus NOL1/NOP2/Sun domain family member 6 (Nsun6), mRNA."
"2230114,6180452,5670592|50935",0.017128421,0.004403134,5.6244364,down,St6galnac6,"Mus musculus ST6 (alpha-N-acetyl-neuraminyl-2,3-beta-galactosyl-1, 3)-N-acetylgalactosaminide alpha-2,6-sialyltransferase 6 (St6galnac6), transcript variant 1, mRNA.///Mus musculus ST6 (alpha-N-acetyl-neuraminyl-2,3-beta-galactosyl-1, 3)-N-acetylgalactosaminide alpha-2,6-sialyltransferase 6 (St6galnac6), transcript variant 3, mRNA."
4900719,0.013120117,0.003230402,41.20632,up,A930008A22Rik,
"6040626,1090333,3120189|18048",0.005687996,0.001245478,78.07186,down,Klk1b4,"Mus musculus kallikrein 1-related pepidase b4 (Klk1b4), mRNA."
"1450487,5670170|14221",0.001753089,3.17E-05,116.03622,up,Fjx1,"Mus musculus four jointed box 1 (Drosophila) (Fjx1), mRNA."
580255,0.009837466,0.002330233,2.5077798,down,9530027K23Rik,
"4810725,2340228,4290450|26424",0.008421759,0.001949574,2.2862935,down,Nr5a2,"Mus musculus nuclear receptor subfamily 5, group A, member 2 (Nr5a2), mRNA."
"3520348,5090360,2940475,1850056,290594,240403|98238",0.002002198,1.17E-04,2.0015337,up,Lrrc59,"Mus musculus leucine rich repeat containing 59 (Lrrc59), mRNA."
"940221,5290079|67891",0.009355794,0.002196921,2.9410276,up,Rpl4,"Mus musculus ribosomal protein L4 (Rpl4), mRNA."
460224,9.70E-09,4.49E-12,10.545106,down,6330407O08Rik,
"5130494,4210431|109624",0.011583385,0.002806123,3.5801702,down,Cald1,"Mus musculus caldesmon 1 (Cald1), mRNA."
"3060390,7050072,6100768|28000",0.010844072,0.002604121,2.0715537,up,Prpf19,"Mus musculus PRP19/PSO4 pre-mRNA processing factor 19 homolog (S. cerevisiae) (Prpf19), mRNA."
6350376,0.005224316,0.001131101,3.5694542,up,Rnps1,
3360102|58909,0.021612408,0.005766518,12.659981,down,Fam13a,"Mus musculus family with sequence similarity 13, member A (Fam13a), mRNA."
1050497|19941,0.001837296,3.41E-05,2.3543684,up,Rpl26,"Mus musculus ribosomal protein L26 (Rpl26), mRNA."
540563|66679,0.003003879,6.05E-04,3.377292,up,Rae1,"Mus musculus RAE1 RNA export 1 homolog (S. pombe) (Rae1), mRNA."
1300707|66107,0.017851898,0.004620103,37.68321,down,1100001G20Rik,"Mus musculus RIKEN cDNA 1100001G20 gene (1100001G20Rik), mRNA."
150100|68147,0.007165388,0.001621421,4.1906967,up,Nola1,"Mus musculus nucleolar protein family A, member 1 (H/ACA small nucleolar RNPs) (Nola1), mRNA."
2070180,0.002002198,2.02E-04,2.1097717,up,C230055K21Rik,
"6380608,110228|217138",0.003744919,7.75E-04,127.32842,up,Atad4,"Mus musculus ATPase family, AAA domain containing 4 (Atad4), mRNA."
"1770379,4860438|100046163",0.015698414,0.003974219,2.0289378,up,LOC100046163,"PREDICTED: Mus musculus similar to Nme6 protein (LOC100046163), mRNA."
5900671,0.02557843,0.007018584,3.0541518,down,LOC385745,
110201,0.006467437,0.001444963,17.896427,down,E030007A22,
7650376|20975,0.021608148,0.005764756,20.482933,down,Synj2,"Mus musculus synaptojanin 2 (Synj2), mRNA."
1070274|20443,0.002002198,1.04E-04,7.022159,down,St3gal4,"Mus musculus ST3 beta-galactoside alpha-2,3-sialyltransferase 4 (St3gal4), mRNA."
2510110|640530,0.00339738,6.95E-04,1438.1475,down,EG640530,"PREDICTED: Mus musculus predicted gene, EG640530 (EG640530), mRNA."
870753|56297,0.002002198,6.99E-05,7.411872,down,Arl6,"Mus musculus ADP-ribosylation factor-like 6 (Arl6), mRNA."
3060470|170676,0.00757649,0.001729352,57.862053,up,Peg10,"Mus musculus paternally expressed 10 (Peg10), transcript variant 1, mRNA."
1500278,0.002002198,2.99E-04,29.886608,down,LOC383215,
1820274|108912,0.002002198,8.75E-05,289.2812,up,Cdca2,"Mus musculus cell division cycle associated 2 (Cdca2), mRNA."
2340048|14104,0.002002198,9.99E-05,4.037217,down,Fasn,"Mus musculus fatty acid synthase (Fasn), mRNA."
5860243|231507,0.006527408,0.001461429,5.320692,up,Plac8,"Mus musculus placenta-specific 8 (Plac8), mRNA."
70431,0.014609119,0.003651963,3.0639324,down,5031439G07Rik,
4280524,0.012425063,0.00303195,4.304325,down,Slc30a9,
7150187|246221,0.041664675,0.012424551,2.623863,down,Mpst,"Mus musculus mercaptopyruvate sulfurtransferase (Mpst), nuclear gene encoding mitochondrial protein, mRNA."
1780072,0.009582831,0.00225966,19.826487,down,Armc1,
"7330411,150356,1260367,4390647|108030",0.004248034,8.93E-04,304.6774,down,Lin7a,"Mus musculus lin-7 homolog A (C. elegans) (Lin7a), transcript variant 1, mRNA.///Mus musculus lin-7 homolog A (C. elegans) (Lin7a), transcript variant 2, mRNA."
3460102|75761,0.025674334,0.007050099,9.402384,down,Apol7a,"Mus musculus apolipoprotein L 7a (Apol7a), mRNA."
6450010|81500,0.002319773,4.54E-04,2.5181124,down,Sil1,"Mus musculus endoplasmic reticulum chaperone SIL1 homolog (S. cerevisiae) (Sil1), mRNA."
6560600,0.04867974,0.014976414,2.0727193,down,LOC384906,
1710703|13589,0.002002198,2.44E-04,3.0371356,up,Mapre1,"Mus musculus microtubule-associated protein, RP/EB family, member 1 (Mapre1), mRNA."
"6280639,7040445|68618",0.001441964,2.34E-05,2.0222251,down,1110012L19Rik,"Mus musculus RIKEN cDNA 1110012L19 gene (1110012L19Rik), mRNA."
3520037,4.97E-04,4.19E-06,67.47502,down,1110033L15Rik,
2690253,0.002392875,4.70E-04,4.5605054,down,Angptl6,
2630017,0.021579148,0.005755147,9.480357,up,D830013H23Rik,
4150184|68801,0.002002198,4.47E-05,4.790588,down,Elovl5,"Mus musculus ELOVL family member 5, elongation of long chain fatty acids (yeast) (Elovl5), mRNA."
6980519|100043972,0.005974428,0.001317184,9.953032,down,LOC100043972,"PREDICTED: Mus musculus similar to OTTMUSG00000015204 protein (LOC100043972), mRNA."
1410356|244595,0.002002198,2.61E-04,250.80318,down,EG244595,"Mus musculus predicted gene, EG244595 (EG244595), mRNA."
7200431|216558,0.003706416,7.66E-04,4.3882504,down,Ugp2,"Mus musculus UDP-glucose pyrophosphorylase 2 (Ugp2), mRNA."
3170403,0.004971727,0.001068504,5.86838,up,2310004N24Rik,
540427|22158,0.002002198,5.27E-05,60.37126,up,Tulp3,"Mus musculus tubby-like protein 3 (Tulp3), mRNA."
4810224|213522,0.04759715,0.01455853,29.802073,down,Plekhg6,"Mus musculus pleckstrin homology domain containing, family G (with RhoGef domain) member 6 (Plekhg6), mRNA."
"3390152,450681,3870041|68971",0.002002198,2.57E-04,7.482193,up,1500001M20Rik,"Mus musculus RIKEN cDNA 1500001M20 gene (1500001M20Rik), mRNA."
5310066,0.00489707,0.001048634,3.2074802,up,Atp8b4,
60639,0.003662349,7.56E-04,2.6127484,down,Sbk,
"4280719,5860356|20111",0.007446923,0.001695677,2.5257878,up,Rps6ka1,"Mus musculus ribosomal protein S6 kinase polypeptide 1 (Rps6ka1), mRNA."
4250392,0.010218162,0.002430756,2.1220832,down,Gtl7,
3780484|56802,0.002002198,1.01E-04,3.914571,up,Nespas,"Mus musculus neuroendocrine secretory protein antisense (Nespas), non-coding RNA."
5720370,0.007925595,0.001819791,10.544805,down,2310036D22Rik,
650291|12317,0.002002198,2.41E-04,3.6022527,down,Calr,"Mus musculus calreticulin (Calr), mRNA."
"1820014,730605|231510",0.008832102,0.00205734,5.6712685,down,Agpat9,"Mus musculus 1-acylglycerol-3-phosphate O-acyltransferase 9 (Agpat9), transcript variant 1, mRNA."
5560041|665281,0.002002198,2.00E-04,2.7387545,up,LOC665281,"PREDICTED: Mus musculus similar to 40S ribosomal protein S12 (LOC665281), misc RNA."
5550551,0.006390375,0.001424602,26.28972,down,3110001A05Rik,
"4040228,1090497,2750025|80879",0.009655056,0.002280601,7.933522,up,Slc16a3,"Mus musculus solute carrier family 16 (monocarboxylic acid transporters), member 3 (Slc16a3), mRNA."
"6960438,6040379|74670",0.002002198,3.80E-04,2.1674445,down,4930432O21Rik,"Mus musculus RIKEN cDNA 4930432O21 gene (4930432O21Rik), mRNA."
"6650088,770564,4490600|71956",0.035306882,0.010232428,2.2218606,down,Rnf135,"Mus musculus ring finger protein 135 (Rnf135), mRNA."
4860386|319166,0.03742794,0.010982486,3.49175,up,Hist1h2ae,"Mus musculus histone cluster 1, H2ae (Hist1h2ae), mRNA."
5960709|235712,0.001410009,2.24E-05,53.826797,up,Mrgpra2,"Mus musculus MAS-related GPR, member A2 (Mrgpra2), mRNA."
5360537|11727,0.007619876,0.001741018,10.989291,down,Ang,"Mus musculus angiogenin, ribonuclease, RNase A family, 5 (Ang), mRNA."
"2710762,270678|56468",0.002002198,1.08E-04,3.1814516,down,Socs5,"Mus musculus suppressor of cytokine signaling 5 (Socs5), mRNA."
4060008|99010,0.004252532,8.94E-04,83.42921,up,Lpcat4,"Mus musculus lysophosphatidylcholine acyltransferase 4 (Lpcat4), mRNA."
6860014,0.022229517,0.005959468,14.147925,down,M6a-pending,
6270735|56420,0.01169696,0.002834991,2.2309446,up,Ppp4c,"Mus musculus protein phosphatase 4, catalytic subunit (Ppp4c), mRNA."
"5550435,6350463|74256",0.007867342,0.001804843,2.3440268,down,Cyld,"Mus musculus cylindromatosis (turban tumor syndrome) (Cyld), mRNA."
6760408|67674,0.02607085,0.007178591,3.7589145,down,0610038D11Rik,"Mus musculus RIKEN cDNA 0610038D11 gene (0610038D11Rik), mRNA."
4900220|230991,4.91E-04,4.12E-06,33.369545,up,B930041F14Rik,"Mus musculus RIKEN cDNA B930041F14 gene (B930041F14Rik), mRNA."
2140551,9.87E-05,3.44E-07,4.1300106,up,LOC381114,
6280692|84506,0.00664148,0.00149038,5.144584,down,Hamp,"Mus musculus hepcidin antimicrobial peptide (Hamp), mRNA."
"2320273,5310445|75974",0.008883558,0.002070869,16.703897,up,Dock11,"Mus musculus dedicator of cytokinesis 11 (Dock11), mRNA."
7550017|56386,0.004698166,0.001001148,2.5799506,up,B4galt6,"Mus musculus UDP-Gal:betaGlcNAc beta 1,4-galactosyltransferase, polypeptide 6 (B4galt6), mRNA."
6580025,0.041301243,0.012306617,2.8296125,down,Zic2,
5810452|64008,0.002002198,9.00E-05,22.733294,down,Aqp9,"Mus musculus aquaporin 9 (Aqp9), mRNA."
"5290142,4280142|73674",0.03881215,0.01144704,2.5452175,up,Wdr75,"Mus musculus WD repeat domain 75 (Wdr75), mRNA. XM_899942 XM_899949 XM_905443 XM_919350 XM_919365 XM_919374 XM_919385 XM_919393 XM_919402"
4920079|78408,0.03573962,0.010376453,16.115046,up,Fam131a,"Mus musculus family with sequence similarity 131, member A (Fam131a), mRNA."
"3290288,5810327|228662",0.037957247,0.011165253,3.645321,up,Btbd3,"Mus musculus BTB (POZ) domain containing 3 (Btbd3), transcript variant 2, mRNA."
"6860639,5910014|78611",0.027345033,0.007585603,4.606391,up,9530048O09Rik,"PREDICTED: Mus musculus RIKEN cDNA 9530048O09 gene (9530048O09Rik), misc RNA."
1300243,0.00752625,0.001716578,3.4347513,up,1100001J08Rik,
"7380300,4730735|674308",0.005946731,0.001310562,2.2902212,down,LOC674308,"PREDICTED: Mus musculus similar to solute carrier family 39 (zinc transporter), member 9, transcript variant 4 (LOC674308), mRNA."
2190280,0.001760022,3.19E-05,6.499291,up,C330008K14Rik,
"5860553,5900497,5670424|18627",0.012134141,0.00295429,3.093725,down,Per2,"Mus musculus period homolog 2 (Drosophila) (Per2), mRNA."
5270681|67534,0.007258729,0.001645063,13.0922365,up,Ttll4,"Mus musculus tubulin tyrosine ligase-like family, member 4 (Ttll4), mRNA."
"7040259,3120446|27041",0.010276101,0.002446025,3.0786142,up,G3bp1,"Mus musculus Ras-GTPase-activating protein SH3-domain binding protein 1 (G3bp1), mRNA."
7160068,0.002002198,2.12E-04,7.107718,down,scl0002775.1_4,
2570270,0.029455915,0.008284503,3.147923,down,2410152H17Rik,
"7040735,6400703,6400474,7320678,4390121|70829",0.002002198,4.70E-05,4.1867504,up,Ccdc93,"Mus musculus coiled-coil domain containing 93 (Ccdc93), transcript variant 2, mRNA.///Mus musculus coiled-coil domain containing 93 (Ccdc93), transcript variant 1, mRNA.///Mus musculus coiled-coil domain containing 93 (Ccdc93), transcript variant 3, mRNA."
"2450066,6580678|170731",0.002002198,3.01E-04,2.336391,down,Mfn2,"PREDICTED: Mus musculus mitofusin 2, transcript variant 9 (Mfn2), mRNA.///Mus musculus mitofusin 2 (Mfn2), nuclear gene encoding mitochondrial protein, mRNA. XM_919144 XM_919157 XM_919164"
5810717,0.010656373,0.002551956,3.6159008,up,LOC380771,
"5310114,7550445,3180754|67131",0.008416682,0.001948155,2.4970107,down,Acbd4,"Mus musculus acyl-Coenzyme A binding domain containing 4 (Acbd4), transcript variant 1, mRNA."
4640152|14527,0.04810942,0.014751403,3.84452,down,Gcgr,"Mus musculus glucagon receptor (Gcgr), mRNA."
2120368|14673,4.64E-04,3.73E-06,6.3863406,down,Gna12,"Mus musculus guanine nucleotide binding protein, alpha 12 (Gna12), mRNA."
4070324,0.001408559,2.22E-05,67.787094,up,LOC234911,
"2650544,2710274|54607",0.003757386,7.78E-04,2.1786442,up,Socs6,"Mus musculus suppressor of cytokine signaling 6 (Socs6), mRNA."
"6060050,5890255|17064",0.040097803,0.011890025,3.8232484,up,Cd93,"Mus musculus CD93 antigen (Cd93), mRNA."
4070066,0.018293856,0.004755651,24.307861,down,LOC381539,
4250685,0.048036993,0.014719468,8.860962,down,LOC245575,
"2120110,770259|16897",0.003618485,7.46E-04,2.159537,up,Llgl1,"Mus musculus lethal giant larvae homolog 1 (Drosophila) (Llgl1), mRNA."
"3140575,4250747,5220368|78912",0.017196698,0.004424666,10.516921,up,Sp2,"Mus musculus Sp2 transcription factor (Sp2), transcript variant 1, mRNA."
3840411|319583,0.031961814,0.009105793,2.0524719,down,Lig4,"Mus musculus ligase IV, DNA, ATP-dependent (Lig4), mRNA."
730521,0.004361284,9.20E-04,2.6708755,up,Ppapdc1,
780228,0.046721693,0.014252899,2.1658998,up,Pole3,
"7560475,1820228|27416",0.037301484,0.010936747,6.8807545,up,Abcc5,"Mus musculus ATP-binding cassette, sub-family C (CFTR/MRP), member 5 (Abcc5), transcript variant 1, mRNA.///Mus musculus ATP-binding cassette, sub-family C (CFTR/MRP), member 5 (Abcc5), transcript variant 2, mRNA."
780021,2.05E-04,9.56E-07,9.328651,down,D9Wsu20e,
